title,location,call,access,parking,height,lift,toilet,customRoom,seat,ticket,blindConve,deafConve,guidance,wheelchair,longitude,latitude
감자바우,서울시 강남구 언주로 855,02-517-1161,Y,N,Y,N,N,N,N,N,N,N,N,N,127.0330966,37.52679113
코다리냉면,서울시 송파구 문정로 31,-1,Y,Y,Y,N,N,N,Y,N,N,N,N,N,127.1261815,37.48646207
아웃백스테이크하우스 봉천점,서울시 관악구 남부순환로 1840,02-884-4761,Y,Y,Y,N,N,N,N,N,N,N,N,N,126.9542976,37.4803625
청송면옥,서울시 관악구 보라매로3길 16,02-873-3329,Y,N,N,N,N,N,N,N,N,N,N,N,126.926303,37.49162863
공룡고기,서울시 금천구 시흥대로  185,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,126.9018352,37.4503637
오삼 부대찌개(상류사회빌딩),서울시 강남구 논현로131길  14,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0290866,37.51442556
AB엔터테인먼트-연예기획사,서울시 강남구 도산대로90길 16,02-547-5420,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0489215,37.5235571
트라이랜드,서울시 서초구 서초대로77길  58,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0243845,37.5025719
연안본가,서울시 송파구 새말로  14,-1,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0
한국맥도날드송정역,서울시 강서구 공항대로 21,02-2665-6747,Y,Y,Y,N,N,N,N,N,N,N,N,N,126.809696,37.5617526
전원일기(전원도시),서울시 강서구 강서로  323,02-2667-0603,N,N,Y,N,N,N,N,N,N,N,N,N,126.8363785,37.55472074
수원갈비,서울시 노원구 동일로 1612,-1,Y,N,Y,N,N,N,N,N,N,N,N,N,127.05618,37.67243266
정원순두부,서울시 중구 무교로  24,02-755-7139,Y,N,Y,N,N,N,N,N,N,N,N,N,126.9794781,37.56810461
아지코우보,서울시 강남구 선릉로162길  49,02-512-3991,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0446008,37.52619952
뚝심,서울시 관악구 남부순환로  1852,02-887-9191,Y,Y,Y,N,N,N,N,N,N,N,N,N,126.9555882,37.47989633
서울집,서울시 서초구 반포대로 46,02-525-2727,Y,Y,N,N,N,N,N,N,N,N,N,N,127.0115608,37.48458919
볼트82,서울시 용산구 대사관로12길 3,-1,Y,Y,N,N,N,N,N,N,N,N,N,N,127.0016905,37.53341618
공룡고기,서울시 도봉구 마들로 542,02-998-7792,Y,Y,N,N,N,N,N,N,N,N,N,N,127.0505017,37.66008757
마법의 성(일반음식점),서울시 마포구 어울마당로  94-13,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,126.9224751,37.55313856
철판해물손짜장,서울시 은평구 은평로 205-7,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,126.9312905,37.60158349
